title,brand,rating,ratings_number,price,prime_option,answers,first_date,sponsored_option,position,page
EVO Boxing Gloves with Hand Wraps For Men and Women With Leather Pro Gel for Muay Thai Kick Boxing Sparring Fighting &amp; Training,Brand: EVO Fitness,4.6 out of 5 stars,584 ratings,£22.99,True,"
12 answered questions
","
6 Feb. 2014
",False,0,1
EMRAH V-2.1 Boxing Gloves Matte Hide Boxing Training,Visit the EMRAH Store,4.6 out of 5 stars,447 ratings,£23.91,True,"
3 answered questions
","
3 July 2017
",True,1,1
"RDX Boxing Gloves for Training and Muay Thai, Maya Hide Leather Mitts for Fighting, Kickboxing, Sparring, EGO Glove for Punch Bag, Focus Pads, Thai Pad and Double End Ball Punching",Visit the RDX Store,4.7 out of 5 stars,"1,817 ratings",£28.99,True,"
47 answered questions
","
27 Aug. 2020
",True,2,1
"RDX Boxing Gloves for Training Muay Thai Maya Hide Leather NOIR Gloves for Sparring, Kickboxing, Fighting, Punch Bags and Focus Pads Punching Matte Black",Visit the RDX Store,4.7 out of 5 stars,"1,597 ratings",£28.99,True,"
28 answered questions
","
5 Oct. 2018
",True,3,1
EVO Boxing Gloves with Hand Wraps For Men and Women With Leather Pro Gel for Muay Thai Kick Boxing Sparring Fighting &amp; Training,Brand: EVO Fitness,4.6 out of 5 stars,584 ratings,£22.99,True,"
12 answered questions
","
6 Feb. 2014
",False,4,1
"Lions Boxing Gloves MMA Punch Bag Training Mitts 6oz, 8oz, 10oz, 14oz, 16oz, Black, Pink, Red",Visit the Lions Store,4.5 out of 5 stars,"1,303 ratings",£14.94 - £29.99,False,"
33 answered questions
","
16 Mar. 2015
",False,5,1
SAWANS® Leather Boxing Gloves Professional MMA Sparring Kickboxing Punch Bag Training Muay Thai Fighting,Brand: SAWANS,4.6 out of 5 stars,230 ratings,£16.99,False,0,"
19 Oct. 2019
",False,6,1
"Boxing Gloves for Training, Muay Thai, Sparring, Kickboxing, Fighting, Focus Pads, Punch Bag Mitts, Martial Arts, Workout Gloves, | 6oz, 8oz, 10oz, 12oz, 14oz, 16oz | Men &amp; Women",Brand: Sparta,4.5 out of 5 stars,269 ratings,£11.99,False,"
5 answered questions
","
12 Feb. 2020
",False,8,1
"RDX Boxing Gloves Sparring and Muay Thai Maya Hide Leather, KARA Patent Pending Training Mitt for Kickboxing, Punch Bag, Focus Pads, MMA, Thai Pad, Double End Ball Punching Fight Gloves",Visit the RDX Store,4.9 out of 5 stars,85 ratings,£19.99 - £28.99,True,0,"
6 Nov. 2020
",False,9,1
"RDX Boxing Gloves for Training Muay Thai Maya Hide Leather NOIR Gloves for Sparring, Kickboxing, Fighting, Punch Bags and Focus Pads Punching Matte Black",Visit the RDX Store,4.7 out of 5 stars,"1,597 ratings",£28.99 - £31.99,True,"
28 answered questions
","
5 Oct. 2018
",False,10,1
Boxing sparing punching pads and bag glove rex leather + FREE hand wraps &amp; skipping rope,Brand: Vader Sports,4.6 out of 5 stars,154 ratings,£39.99,True,0,"
22 Jan. 2016
",False,11,1
EVO Fitness Matte Boxing pads and Gloves Set Target Focus pads Mitts and Boxing Gloves Hook and Jab Training Sparring MMA Martial Arts Muay Thai Kickboxing Karate,Brand: EVO Fitness,4.4 out of 5 stars,98 ratings,£34.99,True,"
4 answered questions
","
22 May 2016
",False,13,1
EMRAH V-2.1 Boxing Gloves Matte Hide Boxing Training,Visit the EMRAH Store,4.6 out of 5 stars,447 ratings,£23.87 - £23.91,True,"
3 answered questions
","
3 July 2017
",False,14,1
"GoMax Leather Boxing Gloves 6,8,10,12,14,16 oz Boxing Gloves for Training Punching bag Sparring, Punching Boxing Bag Gloves Mitts Muay Thai Kickboxing MMA Martial Arts Workout Gloves",Brand: GO MAX,4.6 out of 5 stars,410 ratings,£14.99 - £16.99,False,"
7 answered questions
","
14 Sept. 2019
",False,15,1
"Everlast Unisex's Men's Pro Style Elite Training Boxing Gloves-Red, 16 oz",Brand: Everlast,4.3 out of 5 stars,45 ratings,£29.99,True,0,"
3 Mar. 2015
",False,16,1
"Boxing Inner GEL Gloves for Punching Neoprene Padded Fist Protector Bandages under Mitts Quick Long 1 meter Wrist Support, Great for MMA, Muay Thai, Kickboxing, Martial Arts Training for Men &amp; Women",Brand: Vector sports &amp; Fitness,4.0 out of 5 stars,4 ratings,£8.99,False,0,"
30 Sept. 2020
",True,17,1
Farabi Kids Boxing Gloves 4-oz Junior Boxing Gloves Punching Mitt Kids Training Boxing Gloves for the kids age ranging between 3 to 8 Years,Brand: Farabi Sports,4.7 out of 5 stars,707 ratings,£12.99,False,"
6 answered questions
","
17 Oct. 2012
",False,18,1
EVO Maya Hide Leather Pro GEL Boxing Gloves For MMA Punch Bag Sparring Muay Thai KickBoxing Fighting Training Glove with FREE Boxing Hand Wraps,Brand: EVO Fitness,4.6 out of 5 stars,246 ratings,£19.99 - £20.99,True,"
6 answered questions
","
6 Feb. 2014
",False,19,1
Reebok Boxing Gloves,Visit the Reebok Store,4.5 out of 5 stars,574 ratings,£25.99 - £57.98,False,0,"
10 Jan. 2018
",False,20,1
"SKL Kids Boxing Gloves for Training, 4Oz Punch Mitts Gloves PU Cartoon Sparring Training Gloves for Fighting, Kick Boxing",Brand: SKL,4.7 out of 5 stars,890 ratings,£13.98,False,"
4 answered questions
","
26 Aug. 2017
",False,21,1
"RDX Boxing Hand Wraps Inner Gloves for Punching, Elasticated Padded Bandages under Mitts, Quick Long Wrist Support, Fist Protector, Great for MMA, Muay Thai, Kickboxing, Martial Arts Training",Visit the RDX Store,4.5 out of 5 stars,"2,831 ratings",£8.99 - £11.99,False,"
25 answered questions
","
25 Feb. 2019
",False,22,1
adidas Boxing Gloves Men Women Kids Sparring Training Hybrid 100 6oz 8oz 10oz 12oz 14oz 16oz,Visit the adidas Store,4.6 out of 5 stars,707 ratings,£29.00 - £61.19,True,"
19 answered questions
","
6 Aug. 2018
",False,23,1
"RDX Boxing Gloves for Training and Muay Thai, Maya Hide Leather Mitts for Fighting, Kickboxing, Sparring, EGO Glove for Punch Bag, Focus Pads, Thai Pad and Double End Ball Punching",Visit the RDX Store,4.7 out of 5 stars,"1,817 ratings",£28.99 - £31.99,True,"
47 answered questions
","
27 Aug. 2020
",False,24,1
"Wolon Boxing Gloves 10oz 12oz 16oz for Training and Sparring, Muay Thai, Kickboxing, MMA, Heavy Bag and Focus Pads. For Men and Women PU Leather for long lasting durability.",Brand: Wolon,4.9 out of 5 stars,47 ratings,£28.99 - £30.99,True,0,"
17 July 2020
",False,25,1
Valour Strike Boxing Gloves for Men Women Ladies Juniors &amp; Kids | Set in Ounce 16oz 14oz 12oz 10oz 8oz for Pro Sparring Kickboxing MMA Muay Thai or Boxercise Training Workout | Black Paw™,Visit the Valour Strike Store,4.6 out of 5 stars,177 ratings,£29.95,True,"
10 answered questions
","
16 Aug. 2019
",False,26,1
EVO Fitness Ladies GEL Rex Leather Boxing Gloves Punch Bag MMA Muay Thai Martial Arts Kick Boxing,Brand: EVO Fitness,4.7 out of 5 stars,730 ratings,£18.99 - £19.99,True,"
22 answered questions
","
17 Jan. 2014
",False,27,1
"RDX Kids Boxing Gloves Sparring and Muay Thai Maya Hide Leather, KARA Patent Pending Junior Training Mitt for Kickboxing, Punch Bag, Focus Pads, MMA, Thai Pad, Double End Ball Punching Fight Gloves",Visit the RDX Store,4.8 out of 5 stars,50 ratings,£19.99,False,0,"
6 Nov. 2020
",False,28,1
EVO Fitness Ladies Matte Pink Boxing Gloves Punch Bag Women MMA Muay Thai Martial Arts Kick Boxing Girls Sparring Training Fighting Gloves With Hand Wraps,Brand: EVO Fitness,4.8 out of 5 stars,40 ratings,£18.99,False,0,"
13 Sept. 2020
",False,0,2
Twins Special Muay Thai Boxing Gloves BGVL-3 Black 8-10-12-14-16 Oz.,Brand: Twins special,4.8 out of 5 stars,767 ratings,£82.42 - £115.00,False,"
50 answered questions
","
27 Oct. 2013
",False,1,2
Farabi Kids Junior Boxing Gloves Muay Thai Kickboxing Sparring Punching Bag Training Gloves,Brand: Farabi Sports,4.8 out of 5 stars,379 ratings,£17.99,False,"
3 answered questions
","
1 Feb. 2019
",False,2,2
