title,brand,rating,ratings_number,price,prime_option,answers,first_date,sponsored_option,categories,position,page
SAWANS Punch Bag Boxing Gloves Karate Mitts MMA Body Combat Taekwondo Training Martial Art Fighting Grappling Muay Thai,Brand: SAWANS,4.4 out of 5 stars,232 ratings,7,False,0,"
8 July 2020
",True,"['1,875 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '1 in Boxing Bag Gloves']",0,1
XN8 Boxing Gloves for Training Punch bag - MMA - Muay Thai - Fighting - Kickboxing - Sparring - Punching Mitts,Visit the Xn8 Sports Store,4.6 out of 5 stars,310 ratings,24,True,"
5 answered questions
","
21 July 2020
",True,"['2,085 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '9 in Boxing Gloves']",1,1
VELO Boxing Gloves Microfiber Leather Muay Thai Training Sparring Punching Bag Mitts kickboxing Fighting Glove,Visit the VELO Store,4.5 out of 5 stars,39 ratings,19,False,0,"
4 Oct. 2019
",True,"['80,770 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '92 in Boxing Fight Gloves']",2,1
Valour Strike Boxing Gloves for Men Women Ladies Juniors &amp; Kids | Glove Ounce set to 16oz 14oz 12oz 10oz 8oz | Pro Boxing Training Gloves for Sparring in Kickboxing MMA Muay Thai or Boxercise Training,Visit the Valour Strike Store,4.8 out of 5 stars,438 ratings,29,True,"
36 answered questions
","
12 Aug. 2019
",True,"['11,680 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '28 in Boxing Fight Gloves']",3,1
EVO Boxing Gloves with Hand Wraps For Men and Women With Leather Pro Gel for Muay Thai Kick Boxing Sparring Fighting &amp; Training,Brand: EVO Fitness,4.6 out of 5 stars,641 ratings,20,True,"
12 answered questions
","
6 Feb. 2014
",False,"['645 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '2 in Boxing Training Gloves']",4,1
SAWANS® Leather Boxing Gloves Professional MMA Sparring Kickboxing Punch Bag Training Muay Thai Fighting,Brand: SAWANS,4.6 out of 5 stars,240 ratings,16,False,"
5 answered questions
","
19 Oct. 2019
",False,"['1,510 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '4 in Boxing Training Gloves']",5,1
"RDX Kids Boxing Gloves for Training &amp; Muay Thai Maya Hide Leather Junior 4oz, 6oz Mitts for Sparring, Focus Pads, Fighting &amp; Kickboxing Good for Youth Punch Bag, Punching and Grappling Dummy",Visit the RDX Store,4.7 out of 5 stars,821 ratings,16,False,"
11 answered questions
","
12 July 2016
",False,"['1,675 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '4 in Boxing Fight Gloves']",6,1
"RDX Boxing Gloves for Training Muay Thai Maya Hide Leather NOIR Gloves for Sparring, Kickboxing, Fighting, Punch Bags and Focus Pads Punching Matte Black",Visit the RDX Store,4.7 out of 5 stars,"1,647 ratings",31,True,"
29 answered questions
","
5 Oct. 2018
",False,"['2,139 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '7 in Boxing Training Gloves']",7,1
EVO Fitness Boxing Gloves Men Punch Bag Women MMA Muay Thai Martial Arts Kick Boxing Sparring Training Fighting UFC Adults Gloves With Hand Wraps,Brand: EVO Fitness,4.6 out of 5 stars,3 ratings,16,False,0,"
28 Dec. 2020
",False,"['4,841 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '18 in Boxing Training Gloves']",8,1
"RDX Boxing Gloves for Training Muay Thai Maya Hide Leather Gloves for Sparring, Kickboxing, Fighting, Punch Bags, Double End Speed Ball Focus Pads Punching",Visit the RDX Store,4.7 out of 5 stars,271 ratings,28,True,"
3 answered questions
","
5 Nov. 2019
",False,"['11,306 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '48 in Boxing Training Gloves']",9,1
"RDX MMA Gloves for Grappling Martial Arts, Open Palm Maya Hide ConvEX Leather Sparring Mitts for Cage Fighting, Kickboxing, Punching Bag, Muay Thai and Combat Training Matte Black",Visit the RDX Store,4.6 out of 5 stars,"1,181 ratings",21,True,"
24 answered questions
","
5 Oct. 2018
",False,"['2,531 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '2 in Training Gloves']",10,1
RDX Women's MMA Gloves Grappling Martial Arts Sparring Punching Bag Cage Fighting Maya Hide Leather Mitts Combat Training,Visit the RDX Store,4.4 out of 5 stars,26 ratings,21,True,0,"
29 Jun. 2018
",False,"['53,524 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '28 in Training Gloves']",11,1
"RDX MMA Gloves for Grappling Martial Arts Training, D. Cut Open Palm Maya Hide Leather Sparring Mitts, Perfect for Cage Fighting, Combat Sports, Punching bag, Muay Thai and Kickboxing",Visit the RDX Store,4.6 out of 5 stars,195 ratings,21,True,"
6 answered questions
","
30 Mar. 2015
",False,"['3,816 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '3 in Training Gloves', '23 in Boxing Gloves']",12,1
SAWANS Punch Bag Boxing Gloves Karate Mitts MMA Body Combat Taekwondo Training Martial Art Fighting Grappling Muay Thai,Brand: SAWANS,4.4 out of 5 stars,232 ratings,7,False,0,"
8 July 2020
",False,"['1,875 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '1 in Boxing Bag Gloves']",13,1
"RDX Kids MMA Gloves for Grappling Martial Arts Training, Maya Hide Leather Mitts for Youth, Good for Kickboxing, Sparring, Muay Thai, Junior Cage Fighting, Punching Bag",Visit the RDX Store,4.6 out of 5 stars,234 ratings,19,False,"
8 answered questions
","
10 Nov. 2015
",False,"['14,768 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '12 in Training Gloves']",14,1
"SKL Kids Boxing Gloves for Training, 4Oz Punch Mitts Gloves PU Cartoon Sparring Training Gloves for Fighting, Kick Boxing",Brand: SKL,4.6 out of 5 stars,927 ratings,14,False,"
4 answered questions
","
4 July 2017
",False,"['5,197 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '22 in Boxing Training Gloves']",15,1
"BodyRip STRIKER PRO Training Accessories | Leather Gloves, Target Pad, Kick or Punch Mitt, Head Guard Gear | Boxing, MMA, Muay Thai, Fitness, Exercise, FatLoss, Sparring, Kickboxing, Fighting, Workout",Brand: BodyRip,4.4 out of 5 stars,36 ratings,12,True,0,"
20 Dec. 2017
",True,"['86,049 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '46 in Martial Arts Headgear']",16,1
EVO Fitness Ladies Matte Pink Boxing Gloves Punch Bag Women MMA Muay Thai Martial Arts Kick Boxing Girls Sparring Training Fighting Gloves With Hand Wraps,Brand: EVO Fitness,4.8 out of 5 stars,49 ratings,18,False,0,"
13 Sept. 2020
",False,"['9,901 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '42 in Boxing Training Gloves']",17,1
Islero EVO Fitness Matte Black Boxing Gloves Men Punch Bag Women MMA Muay Thai Martial Arts Kick Boxing Sparring Training Fighting Gloves With Hand Wraps,Brand: Islero,4.9 out of 5 stars,12 ratings,17,False,0,"
11 Nov. 2020
",False,"['13,352 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '52 in Boxing Training Gloves']",18,1
"RangTouek Boxing Gloves for Training &amp; Muay Thai in PU Leather, Boxing Mitts for Fighting, Kickboxing, Sparring &amp; Punch Bag, Focus Pads, Grappling Dummy, and Double End Speed Ball Punching",Brand: RangTouek,4.6 out of 5 stars,54 ratings,13,False,0,"
28 July 2020
",False,"['6,000 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '26 in Boxing Training Gloves']",19,1
"RDX MMA Gloves for Martial Arts Training and Grappling, Approved by SMMAF, Open Palm Maya Hide Leather with Long Wrist Strap, Sparring Mitts for Kickboxing Muay Thai Cage Fighting Punching and Combat",Visit the RDX Store,4.6 out of 5 stars,"1,113 ratings",23,True,"
26 answered questions
","
5 May 2016
",False,"['4,912 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '4 in Training Gloves', '15 in Boxing Fight Gloves', '19 in Boxing Training Gloves']",20,1
Starpro C20 Single Shell Boxing Gloves| PU Leather| Black &amp; White | For Training and Sparring in Muay Thai Kickboxing Fitness and Boxercise |Men &amp; Women |8oz 10oz 12oz 14oz 16oz,Visit the Starpro Store,4.7 out of 5 stars,134 ratings,20,True,0,"
4 Mar. 2019
",False,"['10,372 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '46 in Boxing Training Gloves']",21,1
Kids Boxing Gloves for Training 4oz 60z Boxing Gloves Junior Muay Thai - Maya Hide Leather MMA Mitts for Sparring Fighting Kickboxing Punch Bag Martial Arts Dummy Focus Pads Boys &amp; Girls,Visit the 3X Professional Choice Store,4.6 out of 5 stars,123 ratings,19,False,"
4 answered questions
","
12 July 2016
",False,"['45,381 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '59 in Boxing Fight Gloves', '127 in Boxing Training Gloves']",22,1
XN8 Boxing Gloves for Training Punch bag - MMA - Muay Thai - Fighting - Kickboxing - Sparring - Punching Mitts,Visit the Xn8 Sports Store,4.6 out of 5 stars,310 ratings,24,True,"
5 answered questions
","
21 July 2020
",False,"['2,085 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '9 in Boxing Gloves']",23,1
"RDX MMA Gloves Grappling Sparring, Pre-Curved Martial Arts Mitts, Ventilated Palm, Maya Hide Leather KARA Cage Fighting Gloves, Combat Sports Training, Muay Thai, Punching Bag and Kickboxing",Visit the RDX Store,4.9 out of 5 stars,13 ratings,22,True,0,"
13 Nov. 2020
",False,"['8,217 in Sports & Outdoors (See Top 100 in Sports & Outdoors)', '6 in Training Gloves']",24,1
